date,|['AAPL', 'PG']|
1566999000,204.42962646484375,119.9170913696289
1567085400,207.89097595214844,119.69977569580078
1567171800,207.6224365234375,118.76138305664062
1567517400,204.59869384765625,119.87757110595703
1567603800,208.07003784179688,121.7049789428711
1567690200,212.13812255859375,121.26048278808594
1567776600,212.11822509765625,121.36913299560547
1568035800,213.0233612060547,120.67768096923828
1568122200,215.53981018066406,118.41565704345703
1568208600,222.39292907714844,119.7886734008789
1568295000,221.89559936523438,121.27035522460938
1568381400,217.57884216308594,120.6282958984375
1568640600,218.72268676757812,118.28724670410156
1568727000,219.51840209960938,119.68002319335938
1568813400,221.57733154296875,119.92697143554688
1568899800,219.7770233154297,120.41098022460938
1568986200,216.5642852783203,120.746826171875
1569245400,217.5489959716797,121.71485900878906
1569331800,216.51455688476562,122.10009765625
1569418200,219.8466339111328,121.51730346679688
1569504600,218.71273803710938,122.79154205322266
1569591000,217.6484832763672,123.0483627319336
1569850200,222.77088928222656,122.86067962646484
1569936600,223.3875732421875,122.337158203125
1570023000,217.7877197265625,119.60099792480469
1570109400,219.63775634765625,120.2529296875
1570195800,225.79461669921875,122.4853286743164
1570455000,225.84434509277344,121.33949279785156
1570541400,223.19859313964844,119.45282745361328
1570627800,225.81451416015625,120.4900131225586
1570714200,228.85812377929688,120.45049285888672
1570800600,234.9453582763672,119.61087036132812
1571059800,234.607177734375,118.58358001708984
1571146200,234.0601348876953,115.76838684082031
1571232600,233.11520385742188,116.0943603515625
1571319000,234.0203399658203,115.94116973876953
1571405400,235.14430236816406,116.77621459960938
1571664600,239.2223358154297,118.37670135498047
1571751000,238.67529296875,121.45838928222656
1571837400,241.87803649902344,122.27355194091797
1571923800,242.27589416503906,124.052978515625
1572010200,245.2598419189453,122.5220718383789
1572269400,247.71661376953125,122.75071716308594
1572355800,241.98744201660156,122.87000274658203
1572442200,241.95761108398438,124.20209503173828
1572528600,247.42816162109375,123.7746353149414
1572615000,254.45037841796875,123.13841247558594
1572877800,256.1213684082031,118.36676025390625
1572964200,255.7533721923828,118.19776916503906
1573050600,255.86276245117188,119.609375
1573137000,258.81573486328125,118.91351318359375
1573223400,259.5240783691406,118.99303436279297
1573482600,261.5791931152344,118.62522888183594
1573569000,261.3397521972656,118.5655746459961
1573655400,263.84381103515625,119.93743133544922
1573741800,262.0181579589844,119.78831481933594
1573828200,265.1307678222656,119.82807922363281
1574087400,266.46759033203125,121.17010498046875
1574173800,265.6595153808594,120.702880859375
1574260200,262.5668640136719,121.56774139404297
1574346600,261.3896484375,119.62925720214844
1574433000,261.1601867675781,119.57955932617188
1574692200,265.73931884765625,119.79825592041016
1574778600,263.66424560546875,121.53791809082031
1574865000,267.2058410644531,121.04087829589844
1575037800,266.61724853515625,121.33909606933594
1575297000,263.5345458984375,121.99520111083984
1575383400,258.8357238769531,122.22383880615234
1575469800,261.1202697753906,123.79450988769531
1575556200,264.951171875,123.88398742675781
1575642600,270.06903076171875,123.4565200805664
1575901800,266.28802490234375,124.13250732421875
1575988200,267.8443298339844,123.53604125976562
1576074600,270.12890625,123.92375183105469
1576161000,270.8172607421875,123.83427429199219
1576247400,274.49853515625,124.72896575927734
1576506600,279.1973571777344,124.81842803955078
1576593000,279.74609375,124.56990051269531
1576679400,279.0776672363281,123.277587890625
1576765800,279.35699462890625,124.18220520019531
1576852200,278.77838134765625,124.61961364746094
1577111400,283.32757568359375,124.1623306274414
1577197800,283.596923828125,124.48043823242188
1577370600,289.2236022949219,124.48043823242188
1577457000,289.11383056640625,125.34529876708984
1577716200,290.82977294921875,123.73487091064453
1577802600,292.9547119140625,124.1623306274414
1577975400,299.6388854980469,122.6811294555664
1578061800,296.72576904296875,121.85603332519531
1578321000,299.09014892578125,122.0250244140625
1578407400,297.68353271484375,121.2695083618164
1578493800,302.4721374511719,121.78644561767578
1578580200,308.89691162109375,123.1185302734375
1578666600,309.59521484375,123.23782348632812
1578925800,316.20953369140625,124.14244079589844
1579012200,311.9396667480469,123.95356750488281
1579098600,310.60284423828125,125.216064453125
1579185000,314.49359130859375,125.3254165649414
1579271400,317.9753723144531,125.66341400146484
1579617000,315.8204650878906,125.34529876708984
1579703400,316.94781494140625,125.56399536132812
1579789800,318.47418212890625,124.98999786376953
1579876200,317.55633544921875,125.13999938964844
1580135400,308.218505859375,125.69000244140625
1580221800,316.93780517578125,126.02999877929688
1580308200,323.5720520019531,125.05999755859375
1580394600,323.1031799316406,125.94999694824219
1580481000,308.7771911621094,124.62000274658203
1580740200,307.92919921875,125.11000061035156
1580826600,318.0950622558594,125.66000366210938
1580913000,320.6889343261719,126.80999755859375
1580999400,324.44000244140625,127.13999938964844
1581085800,320.0299987792969,126.08000183105469
1581345000,321.54998779296875,126.16999816894531
1581431400,319.6099853515625,124.16000366210938
1581517800,327.20001220703125,123.44999694824219
1581604200,324.8699951171875,124.95999908447266
1581690600,324.95001220703125,126.13999938964844
1582036200,319.0,124.87000274658203
1582122600,323.6199951171875,125.44000244140625
1582209000,320.29998779296875,126.58000183105469
1582295400,313.04998779296875,126.69999694824219
